row,col,day,population_id,piperacillin (ug/ml),measurement_type,measurement_value
3,1,0,3|1,20,OD,1.70581391191
3,2,0,3|2,20,OD,1.76748972924
3,3,0,3|3,20,OD,1.41983062407
3,4,0,3|4,20,OD,1.50978278127
3,5,0,3|5,20,OD,1.69854399582
3,6,0,3|6,20,OD,1.60414981218
3,7,0,3|7,20,OD,1.50759143247
3,8,0,3|8,20,OD,1.95427225096
3,9,0,3|9,20,OD,1.6840860964
3,10,0,3|10,20,OD,1.77754404533
3,11,0,3|11,20,OD,1.67450753253
4,0,0,4|0,50,OD,1.37434012317
4,1,0,4|1,50,OD,1.70581391191
4,2,0,4|2,50,OD,1.76748972924
4,3,0,4|3,50,OD,1.41983062407
4,4,0,4|4,50,OD,1.50978278127
4,5,0,4|5,50,OD,1.69854399582
4,6,0,4|6,50,OD,1.60414981218
4,7,0,4|7,50,OD,1.50759143247
4,8,0,4|8,50,OD,1.95427225096
4,9,0,4|9,50,OD,1.6840860964
4,10,0,4|10,50,OD,1.77754404533
4,11,0,4|11,50,OD,1.67450753253
5,0,0,5|0,100,OD,1.37434012317
5,1,0,5|1,100,OD,1.70581391191
5,2,0,5|2,100,OD,1.76748972924
5,3,0,5|3,100,OD,1.41983062407
5,4,0,5|4,100,OD,1.50978278127
5,5,0,5|5,100,OD,1.69854399582
5,6,0,5|6,100,OD,1.60414981218
5,7,0,5|7,100,OD,1.50759143247
5,8,0,5|8,100,OD,1.95427225096
5,9,0,5|9,100,OD,1.6840860964
5,10,0,5|10,100,OD,1.77754404533
5,11,0,5|11,100,OD,1.67450753253
6,0,0,6|0,200,OD,1.37434012317
6,1,0,6|1,200,OD,1.70581391191
6,2,0,6|2,200,OD,1.76748972924
6,3,0,6|3,200,OD,1.41983062407
6,4,0,6|4,200,OD,1.50978278127
6,5,0,6|5,200,OD,1.69854399582
6,6,0,6|6,200,OD,1.60414981218
6,7,0,6|7,200,OD,1.50759143247
6,8,0,6|8,200,OD,1.95427225096
6,9,0,6|9,200,OD,1.6840860964
6,10,0,6|10,200,OD,1.77754404533
6,11,0,6|11,200,OD,1.67450753253
7,0,0,7|0,1000,OD,1.37434012317
7,1,0,7|1,1000,OD,1.70581391191
7,2,0,7|2,1000,OD,1.76748972924
7,3,0,7|3,1000,OD,1.41983062407
7,4,0,7|4,1000,OD,1.50978278127
7,5,0,7|5,1000,OD,1.69854399582
7,6,0,7|6,1000,OD,1.60414981218
7,7,0,7|7,1000,OD,1.50759143247
7,8,0,7|8,1000,OD,1.95427225096
7,9,0,7|9,1000,OD,1.6840860964
7,10,0,7|10,1000,OD,1.77754404533
7,11,0,7|11,1000,OD,1.67450753253
0,0,0,0|0,0,RFP,0.4027
0,1,0,0|1,0,RFP,12.34
0,2,0,0|2,0,RFP,25.97
0,3,0,0|3,0,RFP,30.77
0,4,0,0|4,0,RFP,43.46
0,5,0,0|5,0,RFP,67.84
0,6,0,0|6,0,RFP,78.86
0,7,0,0|7,0,RFP,94.28
0,8,0,0|8,0,RFP,164.2
0,9,0,0|9,0,RFP,151.4
0,10,0,0|10,0,RFP,196.8
0,11,0,0|11,0,RFP,238.9
1,0,0,1|0,2,RFP,0.4027
