ampicillin,culture_id,ODf,ODi,ff,fi,replicate,dilution
0.0,0,1.66497644173,0.0143875503769,-0.000169470519737,-0.000378452263225,0,100.0
0.0,1,1.45360386629,0.0142401998475,0.0256142444389,0.0473674563043,0,100.0
0.0,2,1.66260103167,0.0166260103167,0.0559489629423,0.0831943960594,0,100.0
0.0,3,1.735171562,0.0139488432381,0.0795238820998,0.136097043386,0,100.0
0.0,4,1.76999838446,0.0157444308372,0.114104900145,0.190920772547,0,100.0
0.0,5,1.47932882543,0.015880968822,0.138285654515,0.23461782605,0,100.0
0.0,6,1.5518999942,0.0173270790066,0.171246540465,0.265633547252,0,100.0
0.0,7,1.35603614118,0.0158125786528,0.201450905089,0.324992403666,0,100.0
0.0,8,1.62266161748,0.0143242618509,0.234873041605,0.361009958505,0,100.0
0.0,9,1.21179773734,0.0170581391191,0.268894246162,0.400654211988,0,100.0
0.0,10,1.45786753308,0.0157444308372,0.265765309747,0.449678260779,0,100.0
0.0,11,0.986977900735,0.0154742291481,0.354114950936,0.47439638615,0,100.0
0.0,12,1.60414981218,0.0172288469659,0.382720003133,0.542667434497,0,100.0
0.0,13,1.44934963159,0.0167689770446,0.428448084258,0.591551139321,0,100.0
0.0,14,1.36008866335,0.0156539411218,0.463911554623,0.617810288473,0,100.0
0.0,15,1.57217684587,0.0172533579747,0.51204219487,0.678747495291,0,100.0
0.0,16,1.1308975079,0.0160876108434,0.577145605298,0.714067570837,0,100.0
0.0,17,1.35603614118,0.0153405387701,0.626314273248,0.747356992702,0,100.0
0.0,18,1.35199214098,0.0149667198842,0.668612303388,0.801165508552,0,100.0
0.0,19,1.3866402881,0.0154966015163,0.72455115842,0.823349592323,0,100.0
0.0,20,1.53183471206,0.0168648821057,0.780015027296,0.873590378321,0,100.0
0.0,21,1.42401998475,0.0159725357014,0.837736703197,0.920827761832,0,100.0
0.0,22,1.29037379984,0.0167450753253,0.914530591378,0.951761571322,0,100.0
0.0,23,1.33189872558,0.0162266161748,0.988411106786,0.994172302108,0,100.0
3.0,0,0.995349477429,0.0143875503769,,-0.000378452263225,0,100.0
3.0,1,1.36211813141,0.0142401998475,0.0216530129808,0.0473674563043,0,100.0
3.0,2,1.37638469502,0.0166260103167,0.0512693026859,0.0831943960594,0,100.0
3.0,3,1.46428081022,0.0139488432381,0.0831256041447,0.136097043386,0,100.0
3.0,4,1.44722603825,0.0157444308372,0.107201092924,0.190920772547,0,100.0
3.0,5,1.52298357234,0.015880968822,0.146340606942,0.23461782605,0,100.0
3.0,6,1.2554810073,0.0173270790066,0.171551816048,0.265633547252,0,100.0
3.0,7,1.19311019307,0.0158125786528,0.197838984951,0.324992403666,0,100.0
3.0,8,1.62964974536,0.0143242618509,0.231088569402,0.361009958505,0,100.0
3.0,9,1.27867238298,0.0170581391191,0.274946237474,0.400654211988,0,100.0
3.0,10,1.37638469502,0.0157444308372,0.309271624953,0.449678260779,0,100.0
3.0,11,1.30214685286,0.0154742291481,0.354904126855,0.47439638615,0,100.0
3.0,12,1.41147918285,0.0172288469659,0.376138709389,0.542667434497,0,100.0
3.0,13,1.36414974348,0.0167689770446,0.443373244368,0.591551139321,0,100.0
3.0,14,1.36821941779,0.0156539411218,0.463483718609,0.617810288473,0,100.0
3.0,15,1.29233097698,0.0172533579747,0.510993396824,0.678747495291,0,100.0
3.0,16,1.36414974348,0.0160876108434,0.58465807221,0.714067570837,0,100.0
3.0,17,1.41773936116,0.0153405387701,0.621838714752,0.747356992702,0,100.0
3.0,18,1.41565036993,0.0149667198842,0.675531779174,0.801165508552,0,100.0
3.0,19,1.44722603825,0.0154966015163,0.729624249696,0.823349592323,0,100.0
3.0,20,1.39901963266,0.0168648821057,0.791468504483,0.873590378321,0,100.0
