ODf,culture_id,ff,replicate,amp,dilution,day
1.6840860963990254,0,0.031152266232569434,0,100.0,100.0,0
1.5789835871023483,1,0.06950165000227161,0,100.0,100.0,0
1.6413533534142115,2,0.1042983362668097,0,100.0,100.0,0
1.6961267849657014,3,0.13213366255725895,0,100.0,100.0,0
1.549660151631123,4,0.15979650370496915,0,100.0,100.0,0
1.7228846965892708,5,0.19304303391903765,0,100.0,100.0,0
1.7425815400429612,6,0.25174178099398803,0,100.0,100.0,0
1.6649764417327846,7,0.26341746330760063,0,100.0,100.0,0
1.592669776255018,8,0.3056671940277226,0,100.0,100.0,0
1.6768977044569822,9,0.34334174498765385,0,100.0,100.0,0
1.0549936951019026,10,0.38163685610162806,0,100.0,100.0,0
1.7228846965892708,11,0.4507983751155671,0,100.0,100.0,0
1.660228552130864,12,0.4999802085226239,0,100.0,100.0,0
1.813153975207099,13,0.5338991821159313,0,100.0,100.0,0
1.6460548132076793,14,0.5920911819529485,0,100.0,100.0,0
1.6507677951122643,15,0.6460758083959288,0,100.0,100.0,0
1.7750255339134264,16,0.6799531461887177,0,100.0,100.0,0
1.8080262929567057,17,0.7256290554153574,0,100.0,100.0,0
1.8080262929567057,18,0.7691102164923562,0,100.0,100.0,0
1.6985439958229895,19,0.8243891027529345,0,100.0,100.0,0
1.7599833392901039,20,0.8738420463274557,0,100.0,100.0,0
1.7851194301064905,21,0.9367017784817947,0,100.0,100.0,0
1.8157229526224825,22,0.995688809939709,0,100.0,100.0,0
1.750020180609624,23,0.031745947633363025,1,100.0,100.0,0
1.4557345180562946,24,0.06987775367854583,1,100.0,100.0,0
1.6768977044569822,25,0.10174663654152538,1,100.0,100.0,0
1.3080605180764022,26,0.13520241856440718,1,100.0,100.0,0
1.6840860963990254,27,0.1756847790169672,1,100.0,100.0,0
1.6649764417327846,28,0.2070207198601302,1,100.0,100.0,0
1.5744430837217132,29,0.22799923359497365,1,100.0,100.0,0
1.5721768458670988,30,0.29237590192778035,1,100.0,100.0,0
1.5676523663571995,31,0.3085304619870169,1,100.0,100.0,0
1.655492355742412,32,0.33770525005940577,1,100.0,100.0,0
1.5474229148134033,33,0.362642634961263,1,100.0,100.0,0
1.8208712258784518,34,0.44350257333183896,1,100.0,100.0,0
1.639006926730505,35,0.4902130927137013,1,100.0,100.0,0
1.8260333185919058,36,0.5476742010010488,1,100.0,100.0,0
